gamma,lambda,acc_train,acc_test
0.7,0.65,0.9933333333333333,0.976
0.7,0.7,0.99,0.976
0.7,0.75,0.9893333333333333,0.976
0.7,0.8,0.9866666666666667,0.976
0.7,0.85,0.9826666666666667,0.972
0.7,0.9,0.9806666666666667,0.974
0.7,0.95,0.9746666666666667,0.968
0.7,1,0.966,0.964
0.75,0.05,1,0.978
0.75,0.1,0.9993333333333333,0.978
0.75,0.15,0.998,0.978
0.75,0.2,0.998,0.978
0.75,0.25,0.9966666666666667,0.978
0.75,0.3,0.996,0.978
0.75,0.35,0.9953333333333333,0.976
0.75,0.4,0.9953333333333333,0.976
0.75,0.45,0.9953333333333333,0.976
0.75,0.5,0.994,0.978
0.75,0.55,0.994,0.976
0.75,0.6,0.9913333333333333,0.976
0.75,0.65,0.99,0.976
0.75,0.7,0.9893333333333333,0.976
0.75,0.75,0.9866666666666667,0.976
0.75,0.8,0.9826666666666667,0.974
0.75,0.85,0.9813333333333333,0.972
0.75,0.9,0.978,0.972
0.75,0.95,0.9713333333333334,0.966
0.75,1,0.9666666666666667,0.956
0.8,0.05,0.9973333333333333,0.978
0.8,0.1,0.9966666666666667,0.978
0.8,0.15,0.996,0.978
0.8,0.2,0.996,0.978
0.8,0.25,0.9946666666666667,0.976
0.8,0.3,0.9946666666666667,0.976
0.8,0.35,0.994,0.976
0.8,0.4,0.9926666666666667,0.976
0.8,0.45,0.992,0.976
0.8,0.5,0.9913333333333333,0.974
0.8,0.55,0.9906666666666667,0.976
0.8,0.6,0.9893333333333333,0.976
0.8,0.65,0.9893333333333333,0.976
0.8,0.7,0.984,0.974
0.8,0.75,0.9826666666666667,0.974
0.8,0.8,0.9806666666666667,0.974
0.8,0.85,0.9793333333333333,0.972
0.8,0.9,0.9746666666666667,0.968
0.8,0.95,0.9686666666666667,0.962
0.8,1,0.9653333333333334,0.952
0.85,0.05,0.9933333333333333,0.978
0.85,0.1,0.9933333333333333,0.976
0.85,0.15,0.9926666666666667,0.976
0.85,0.2,0.992,0.976
0.85,0.25,0.992,0.976
0.85,0.3,0.992,0.974
0.85,0.35,0.992,0.974
0.85,0.4,0.9906666666666667,0.974
0.85,0.45,0.99,0.974
0.85,0.5,0.9886666666666667,0.974
0.85,0.55,0.9866666666666667,0.974
0.85,0.6,0.982,0.972
0.85,0.65,0.982,0.974
0.85,0.7,0.9806666666666667,0.974
0.85,0.75,0.9793333333333333,0.972
0.85,0.8,0.9766666666666667,0.972
0.85,0.85,0.9746666666666667,0.968
0.85,0.9,0.972,0.962
0.85,0.95,0.968,0.956
0.85,1,0.966,0.952
0.9,0.05,0.99,0.974
0.9,0.1,0.9893333333333333,0.974
0.9,0.15,0.9886666666666667,0.974
0.9,0.2,0.9873333333333333,0.974
